HDR,ROLLING SYSTEM DEMAND,
VD,2.02203E+13,26881
VD,2.02203E+13,26910
VD,2.02203E+13,26936
VD,2.02203E+13,26904
VD,2.02203E+13,26824
VD,2.02203E+13,26773
VD,2.02203E+13,26762
VD,2.02203E+13,26705
VD,2.02203E+13,26630
VD,2.02203E+13,26572
VD,2.02203E+13,26508
VD,2.02203E+13,26410
VD,2.02203E+13,26383
VD,2.02203E+13,26452
VD,2.02203E+13,26420
VD,2.02203E+13,26402
VD,2.02203E+13,26379
VD,2.02203E+13,26388
VD,2.02203E+13,26395
VD,2.02203E+13,26342
VD,2.02203E+13,26376
VD,2.02203E+13,26433
VD,2.02203E+13,26468
VD,2.02203E+13,26618
VD,2.02203E+13,26693
VD,2.02203E+13,26674
VD,2.02203E+13,26603
VD,2.02203E+13,26595
VD,2.02203E+13,26668
VD,2.02203E+13,26860
VD,2.02203E+13,27139
VD,2.02203E+13,27484
VD,2.02203E+13,27769
VD,2.02203E+13,27908
VD,2.02203E+13,28167
VD,2.02203E+13,28740
VD,2.02203E+13,29163
VD,2.02203E+13,29462
VD,2.02203E+13,29991
VD,2.02203E+13,30311
VD,2.02203E+13,30732
VD,2.02203E+13,31158
VD,2.02203E+13,31576
VD,2.02203E+13,31905
VD,2.02203E+13,32396
VD,2.02203E+13,32805
VD,2.02203E+13,32954
VD,2.02203E+13,33862
VD,2.02203E+13,34360
VD,2.02203E+13,34747
VD,2.02203E+13,35204
VD,2.02203E+13,35667
VD,2.02203E+13,35773
VD,2.02203E+13,35850
VD,2.02203E+13,35989
VD,2.02203E+13,36304
VD,2.02203E+13,36438
VD,2.02203E+13,36579
VD,2.02203E+13,36774
VD,2.02203E+13,37211
VD,2.02203E+13,37439
VD,2.02203E+13,37520
VD,2.02203E+13,37517
VD,2.02203E+13,37639
VD,2.02203E+13,37565
VD,2.02203E+13,37452
VD,2.02203E+13,37527
VD,2.02203E+13,37650
VD,2.02203E+13,37744
VD,2.02203E+13,37846
VD,2.02203E+13,37889
VD,2.02203E+13,38068
VD,2.02203E+13,38168
VD,2.02203E+13,38159
VD,2.02203E+13,38199
VD,2.02203E+13,38242
VD,2.02203E+13,38213
VD,2.02203E+13,38246
VD,2.02203E+13,38260
VD,2.02203E+13,38106
VD,2.02203E+13,38110
VD,2.02203E+13,38049
VD,2.02203E+13,38008
VD,2.02203E+13,38013
VD,2.02203E+13,38035
VD,2.02203E+13,38017
VD,2.02203E+13,37973
VD,2.02203E+13,37896
VD,2.02203E+13,37887
VD,2.02203E+13,37916
